PERMNO,date,SICCD,TICKER,COMNAM,NAICS,PRC,VOL,RET,SHROUT,vwretd,ewretd,sprtrn
84788,20151231,7370,AMZN,AMAZON COM INC,454113,675.89001,902288,0.016682,471000,-0.022227,-0.035860,-0.017530
84788,20160129,7370,AMZN,AMAZON COM INC,454113,587.00000,1302119,-0.131516,470842,-0.057148,-0.074934,-0.050735
84788,20160229,7370,AMZN,AMAZON COM INC,454113,552.52002,1242930,-0.058739,470899,0.000613,0.005564,-0.004128
84788,20160331,7370,AMZN,AMAZON COM INC,454113,593.64001,940262,0.074423,472000,0.070554,0.078181,0.065991
84788,20160429,7370,AMZN,AMAZON COM INC,454113,659.59003,784958,0.111094,471828,0.011725,0.039818,0.002699
84788,20160531,7370,AMZN,AMAZON COM INC,454113,722.78998,906270,0.095817,471828,0.014354,-0.000584,0.015329
84788,20160630,7370,AMZN,AMAZON COM INC,454113,715.62000,746082,-0.009920,474000,0.002929,0.005847,0.000906
84788,20160729,7370,AMZN,AMAZON COM INC,454113,758.81000,686568,0.060353,474074,0.038849,0.049900,0.035610
84788,20160831,7370,AMZN,AMAZON COM INC,454113,769.15997,500139,0.013640,474074,0.002806,0.012873,-0.001219
84788,20160930,7370,AMZN,AMAZON COM INC,454113,837.31000,673657,0.088603,475000,0.003015,0.015368,-0.001234
84788,20161031,7370,AMZN,AMAZON COM INC,454113,789.82001,770705,-0.056717,475167,-0.021566,-0.039930,-0.019426
84788,20161130,7370,AMZN,AMAZON COM INC,454113,750.57001,1100918,-0.049695,475167,0.040543,0.050508,0.034174
84788,20161230,7370,AMZN,AMAZON COM INC,454113,749.87000,736693,-0.000933,477000,0.018772,0.015897,0.018201
84788,20170131,7370,AMZN,AMAZON COM INC,454113,823.47998,707189,0.098164,477171,0.022173,0.025937,0.017884
84788,20170228,7370,AMZN,AMAZON COM INC,454113,845.03998,717536,0.026182,477615,0.032623,0.017121,0.037198
84788,20170331,7370,AMZN,AMAZON COM INC,454113,886.53998,607266,0.049110,478000,0.002064,0.006378,-0.000389
84788,20170428,7370,AMZN,AMAZON COM INC,454113,924.98999,735435,0.043371,477975,0.009657,0.003709,0.009091
84788,20170531,7370,AMZN,AMAZON COM INC,454113,994.62000,762487,0.075276,477975,0.009335,-0.011302,0.011576
84788,20170630,7370,AMZN,AMAZON COM INC,454113,968.00000,961813,-0.026764,480000,0.009580,0.022960,0.004814
84788,20170731,7370,AMZN,AMAZON COM INC,454113,987.78003,788729,0.020434,480380,0.020294,0.009082,0.019349
84788,20170831,7370,AMZN,AMAZON COM INC,454113,980.59998,774232,-0.007269,480380,0.001593,-0.008726,0.000546
84788,20170929,7370,AMZN,AMAZON COM INC,454113,961.34998,594091,-0.019631,482000,0.023758,0.046845,0.019303
84788,20171031,7370,AMZN,AMAZON COM INC,454113,1105.28003,833449,0.149717,481872,0.019294,0.002239,0.022188
84788,20171130,7370,AMZN,AMAZON COM INC,454113,1176.75000,771775,0.064662,481872,0.027260,0.020843,0.028083
84788,20171229,7370,AMZN,AMAZON COM INC,454113,1169.46997,580139,-0.006187,481872,0.012129,0.014185,0.009832
